movie,sentence,score
더 그레이트 샤크,여름엔 역시 샤크해수욕장도 못가는데 대리만족이라도시원하게.. 다 물어주겨버리..,10
목소리의 형태,ㄹㅇ 띵작..눈물나는 영화,10
더 그레이트 샤크,시원하고 통쾌한게 요즘 보기 좋네요,9
크루엘라,암 낫 에스텔라 아이엠 크루엘라 할 때 ㄹㅇ 소름 돋았음,10
모가디슈,믿고보는 김윤석허준호... 존잼,10
블랙핑크 더 무비,'그' 소속사 '그' 아이돌 이제는 빨아 주는 애들이 문제지 에휴 ㅉㅉ,1
더 그레이트 샤크,역시 시원하게 재미있다! 여름에 보기 딱 좋음!,10
더 그레이트 샤크,상어가 나오는건 믿고본다,10
더 그레이트 샤크,매우 훌륭한 샤크 너무 무서워,8
랑종,쓰레기같은 영화. 농락당한 기분,1
블랙 위도우,할배가연기.개잘함 포스 핵무섭,10
모가디슈,2시간 순삭했음. 난 재밋었음,10
더 그레이트 샤크,더울 땐 역시 상어영화가 국룰,10
블랙 위도우,블랙 위도우 죽었다고 생각하고 보면 슬픔 ㅠ,10
모가디슈,절제된 스토리와 연기가 전작인 <군함도>보다 더 큰 몰입감과 감동을 선사합니다. 한국 사람들이 주인공이어서 그런지 비슷한 소재를 다루고 있는 <블랙 호크 다운>보다 더 몰입하게 되었던것 같아요. 5년 전 <군함도>가 개봉하고 나서 역사왜곡 국뽕 논란에 스크린독점 논란까지 덤터기를 쓰는 모습을 보고 많이 안타까웠는데 <모가디슈> 이 작품을 통해서 그때 비판받았던 지점들을 잘 수용 극복한거 같아요! <짝패> 때부터 너무 좋아했던 류승완 감독의 액션영화 관객으로서 앞으로의 행보가 기대됩니다. ^^,9
은밀한 방문자,역대급!!!! ㅋㅋ,9
더 그레이트 샤크,인간의심리를파고는 묘사와 절대절명의 순간 반드시 살아날 구멍이 있다,10
오로라 공주,재미있게 잘 봤어요응징!!!!,10
테넷,다 보고나면 어느정도 대부분 이해할 수 있는 영화임. 하나하나 어렵게 생각하면 엄청 어렵고 그냥 정말 영화에서 설명해주는 씬대로만 생각만 하면 충분할듯.명확한 해석은 감독만 할 수 있을듯 ㅋㅋ   근데 처음에 너~무 불친절한 전개라서 처음에 몰입이 조금 힘듬.,8
지오스톰,이제서야 봤다는게ㅠㅠ요근래 본 영화중 제일 재밋는 재난영화,10
모가디슈,최근에 본 영화중에 제일 몰입해서 봤습니다,9
꽃다발 같은 사랑을 했다,어릴적  같이 서로의 미래를 그리며 얘기하던 풋풋한 나의 모습을 떠오르게 했다.,9
더 수어사이드 스쿼드,이 세계관의 최강자는 뚱이인데요,8
모가디슈,조인성 최고… ㅜㅜㅜ스토리도 괜찮았고 근래 본 영화 중 젤 재밌었음,10
더 수어사이드 스쿼드,진지충에 오버액션 싫어하면 걍 보지마ㅋㅋ,10
인코그니토,스릴러 영화중에 상당한 수작임. 숨은명작,10
모가디슈,진짜 재밌어용,10
모가디슈,코러나 때문에 한동안 극장을 안갔었는데  평이좋아 선택해거 간만에 재밌게 봤습니다~~박진감 넘치고 스토리 좋아요~~^^,10
더 수어사이드 스쿼드,아무리 개인취향이라지만 이런 영화가 8점대라는게 놀랍다.할리퀸의 단독 액션신에 별 2개준다.DC는 그냥 열심히 다크나이트 시리즈 만들자.,4
그린 나이트,설명하지 못하는 풍유는 작품을 난해하게 할 뿐,6
디스트릭트 9,인간의 이기성과 잔혹성을 새로운 시각에서  다시금 일깨우는 수작임,10
꽃잎,당시 이정현 나이가 16살이었는데 중3 고1정도였다. 여중생을 대상으로 강간 성폭행 심지어 음모노출까지 지금 같으면 도저히 찍을수도 없는 영화였다. 아마 인권 문제로 상영금지 처분으로 상영조차 못됐을거다.,5
모가디슈,인생 최악의 영화. 돈버렸네,1
정글 크루즈,초반 30분 버티면 캐리비안 해적급 판타지 영상 볼수있음,10
모가디슈,좋았어요 시간가는줄 모르는 영화,10
더 수어사이드 스쿼드,욘두가..아니 서번트가 엄지있는 그레이하운..아니 물에 빠진 족제비구할때ㅋㅋ웃김ㅋㅋ표정들이ㅋ 첫 전투신이 내맘에 쏙드는 병맛임ㅋT.D.Kㅋㅋ몽갈ㅋ캡틴부메랑ㅋ블래가드ㅋ시작부터 아주ㅋ그걸보고 ㅌㅌ하는 서번트ㅋ,10
반도,다들 스토리 별로라고 하는데 좀비영화 좋아하는 사람으로 재밌게 봤습니다 세 번 봤어요:),10
모가디슈,시간 때울때 딱 좋음 근데 중간중간 뭐가 비어있는 뭔가가 살짝 아쉬운 감이 있는데 원래 조인성나오는 영화는 조인성얼굴보는 뭐 그런것도 있는데 이건 스토리랑 뭐 보느냐 조인성얼굴 눈에 띄게 보이지 않음 이건 성공적이네요,8
더 수어사이드 스쿼드,영화 보면서 나까지 미치는줄 꿀잼 ㅇㅈ !,10
카메라를 멈추면 안 돼!,상추형아지금 18분11초에 멈추고 이거 쓰고 있는데일단 평점 믿고 10분 더 봐볼게 ---- 다봤다. 사랑스러운 영화♡ 중간에 카메라 테이크까지 바뀐거 같아서 짜증났는데 나중에 빵터짐ㅋㅋㅋ 상추형아 또 추천해줘,10
모가디슈,코믹스런 요소는 없지만 무겁지만 그리 무겁지는 않은 볼만한 영화였음.어린아이들에게 쥐여진 총을 보니 마음이 좀 아팠음.,8
더 수어사이드 스쿼드,뭔가 개연성이 .. 전혀 없는 눈요기만 가득한 기분이었고.. 이게 뭔 내용인가가햇습니다,4
모가디슈,오랜만에 재밌는 영화 나와서 기분이 좋네요,9
미드나이트,전체적으로 나쁘지많은 않았음. 영화 처음 구상한게 여성안전벨이 대화를 통해서만 소통이 가능하고 그렇다보니 장애가 있으면 사용이 힘들것이다 라는것에서 시작한것같음. 경찰서 가기전까지는 흥미롭고 재밌었으니 그 이후는 고구마 100만개. 최악은 아니었으나 친구에게 쉽게 추천할 수는 없는 영화,6
모가디슈,간만에 잼있는 영화 봤습니다ㅎ,10
레볼루셔너리 로드,몇 년을 함께한 연인이나 부부가 보면 현실반영 100%... 혼자 보다가 너무 힘들어서 멈추고 짝꿍이랑 다시 봤어요. 짝꿍은 랑종보다 무섭대요ㅋㅋㅋㅋ 믿고 보는 디카프리오..,10
랑종,비만으로 인한 돌연사가 더 무서운 “님” + 문란한 생활과 열악한 주거위생환경의 폐해가 더 현실적으로 끔찍. 급기야 어몽어스보다 쫄깃 유쾌하지도 않은 “밍밍”한 임포스터놀이. 20대 여성하나 제압하지 못하는 미필 카메라맨의 비애.,2
보스 베이비 2,보스베이비를 재밌게 본 만큼의 감동을 2에서도 그대로 느꼈습니다. 저는 그랬어요...,10
모가디슈,정말 재미있어요 '인랑' '리얼' '클라멘타인'그리고 '7광구'랑 함께 내인생 영화 탑 5에 들었어요 꼭 영확관에서 보세요!!,10
돌멩이,김대명배우님의 연기력 진짜 미쳤습니다 영화 마지막에 은지한테 아프지말라고 할때 진짜 완전 울었어요,10
박쥐,이 영화가 평점  낮은 이유는?  신부가  타락해서?종교인의 무분별한  단합으로  별점 테러  당한듯 너무너무  재미있고 영상또한  너무  멋지다  미술감독  대단한  분인듯  옥빈이 너무 이쁘네,10
은밀한 방문자,쫄깃하게 볼 만하네요!,10
증인,'자폐아'에 대하여 많은 생각을 하게되었고 더 나아가 '차별'과 '편견'에 대해서도 생각해보게 된 영화였습니다. 재미있게 잘 봤습니다.,10
모가디슈,조조로 보고왔습니다. 잼도있고 감동도있고 무언가 가슴한켠 먹먹함도 느껴지는 좋은영화였습니다.,10
기생충,봉준호감독의 시니컬한 촌극,10
은밀한 방문자,스릴러의 강점이 잘 살아있음,10
외계 번개용,이건 뭐 어릴적 우리가 추억하는  한국영화의 레전드 중에 하나.영화도 재밌지만  보면서 어릴적 기억이 너무나서 눈물난다.ㅜㅜ,10
블랙 위도우,너무 기대를해서 그런지 실망감이 크네요내용도 그렇고 스케일도 그렇고ㅜㅜ,6
반딧불이의 묘,"도쿄 올림픽에서 참가 선수들에게 원폭일에 묵념을 해달라고 요청했단다. 좌우를 떠나 일본인들 깊숙히 내재되어 있는 자기들은 피해자라는 정신착란적 감성. 내가 ""반딧불의 묘""를 싫어하는 이유.",1
모가디슈,내용이나 연출 다 너무 좋았음,8
컷 스로트 시티,흑인 주제 영화 태반이 갈등 비스므리,1
모가디슈,작은 울림도있고 억지스럽지않게 잘 만들어진영화,9
걸캅스,안봐도 뻔하다. 우리나라 경찰에 여자가 어딨냐치안보조사.조무사일 뿐이지 ㅋㅋ,1
그린 나이트,이걸 기대한 게 아닌데,3
남매의 여름밤,지금 이 시대의 동심 ...,8
아이들은 즐겁다,따뜻하다 다이야 사랑해,8
은혼 더 파이널,은혼이다 끝까지 정말 끝이라니..,10
모가디슈,오랜만에 시원시원하게 영화 극장에서 잘보앗습니다,8
모가디슈,조인성 대배우 진짜 연기력 빠졌고보는 내내 지겹지가 않았어요ㅜㅜ또보고싶은 영화,10
7월 4일생,전쟁의 명작이라거나 수작이라기 보다 대작이고,9
더 그레이트 샤크,저는 재미있게봤습니다. 흔한 소재인거같지만 흔하지않게 만든거같아요,10
블랙 위도우,간만의 본 돈 좀 쓴 영화 ㅎ,8
더 그레이트 샤크,흠~ 상어 나오는 영화를 좋아해서 그런지 특별한건 없었지만 그런데로 볼만했음!,8
더 수어사이드 스쿼드,스토리는 그냥 그렇고 액션 괜찮음 유쾌하게 잔인함잔인한거 싫어하는 사람은 비추요,10
방법: 재차의,솔직히 이정도면 볼만은 한듯. 끝은 좀 아쉽지만 드라마 안본 나로써도 어느정도 재미있게 봄,8
모가디슈,너랑 봐서 좋았고 또 같이보고싶다.,10
모가디슈,최근에 본 상당히 재미있던 영화네요코로나아니였으면 더 많은 관객들이 보았을듯합니다.,9
모가디슈,내전에 무서움도 알고 느끼는게 많아요 재미있었어요,10
콰이어트 플레이스,처한 상황의 분위기도 잘살렸고  배경도 좋았다. 다만  괴물의 약점이 너무 간단하고 쉽게 처리되고 급하게 마무리 되는점이 아쉽다. 마치 미드의 시리즈식 마무리와 비슷한 느낌을 준다.,8
모가디슈,정만식 배우 덕분에 오랜만에 영화관에서 봤습니다! 돈 아깝지 않은 영화였어요! 배우들 연기도 물론 말모입니다. 가족들이랑 봤는데 가족도 다 재밌다고 했어요 :),10
더 그레이트 샤크,지금 시즌에 보기 딱인영화! 시원하고 좋았음,10
모가디슈,영화 내용 영상 자체는 재밌고 좋았습니다만 한 배우의 최근 논란 때문에 집중도가 떨어졌습니다,4
더 그레이트 샤크,여름 더위 완전 날아가는 시원한 영화라 좋았습니다 ㅎㅎ,10
더 그레이트 샤크,평점왜이러지 재밌게봤음,10
더 그레이트 샤크,여름엔 시원한 샤크 영화 아니겠습니까..ㅎㅎ 극장에서 보면 좋을 영화,10
모가디슈,뻔한 스토리지만 신파는없다 가족용 추석영화같은느낌의 영화 영상미가 너무좋았다,6
엑스맨,울버린 불쌍해 ㅠㅠㅠ히어로중 젤불쌍한듯,10
오만,지일주배우님 연기 멋져요,10
정글 크루즈,유쾌한 가족 영화인줄 알았는데 기대이상! 액션과 볼거리가 가득함드웨인존슨 시선강탈용감한 여주. 귀여운 남동생더 귀여운 냥이,10
더 수어사이드 스쿼드,아주 그냥 DC에서 나온 모든 영화중에 최고였따,10
정글 크루즈,감상포인트를 추천하라는데 솔직히 하나도 없다 .  연출 연기력 스토리 영상미 ost 전부 볼게 없고 유치원생들이나 재밌게 보고 신나할정도의 유치한 영화다,1
더 그레이트 샤크,큰 기대 없이... 킬링타임으로 잘 봤음,8
리플리,끝까지....긴장감..최고네요~~^^,10
정글 크루즈,인디아나존스를 표방한 새로운 어드밴쳐영화그러나 진부한 액션감 클리셰가 영화의 재미를 반감시킴특히 액션신은 드웨인존슨표 액션이 아니라서 그걸 기대하고 본다면 실망할 확률이 큼이야기 전개 또한 처음에 왜 이걸 찾아야하는지에 대한 이유의 명확성이 약간 떨어짐빌런 역할도 꽃잎을 훔쳐서 뭘해야 한다는 명분에.대해 확실하게 말해주지 않고 흐지부지하게 넘어가 왜 뺏으려고 하지? 하는 후반부에 들어서 의문이 들 정도로 약하다는게 단점인디아나존스를 기대하고 본 나로선 영화의 완성도가 아쉽다는게 내 평임그러나 에밀리블런트는 이쁘다 끝.,5
레프트 비하인드: 휴거의 시작,요즘 나오는 영화들과는 다른 영화,10
모가디슈,생각보다 별로네요..감흥도 없고..,6
모가디슈,한줄로 요약하자면 믿고보는 배우와 믿고보는 감독.,10
더 그레이트 샤크,여름에는 샤크?!!,9
나이브스 아웃,기존의 추리 영화라고 생각하다간 오산,10
모가디슈,좋은 영화입니다. 미국은 떠나고 돈없고 힘없는 나라들 사람들 남아 각자생존하려는… 그러나 이데올로기가 서로를 구분짓게 만드는… 이게 인간사인데…우리 후손들은 극복하고 살았으면 좋겠다,10
갈매기,넘 감동적인  작품입니다 강추합니다,10
언더독,마음 아파서 곁눈질로 본 영화 ㅠㅠ,10
알리타: 배틀 엔젤,아직도 기억난다 영화관에서 큰 화면으로 보던 영상미 개쩔었던게,10
더 수어사이드 스쿼드,R등급이 가져다주는 쾌감,7
내 머리 속의 지우개,2003년 클래식2004년 내머리속의지우개2년동안 인생영화 연이어찍은 갓예진,10
모가디슈,여러 방면으로 울컥함이 올라오는 영화.. 독재 정부 남북관계.. 많은 생각을 해보게 됨.,10
모가디슈,100프로 로컬촬영이라고ㅇㅇ,10
더 수어사이드 스쿼드,진작 이렇게 만들었어야지!!,10
아이들은 즐겁다,웹툰보다가 영화봤는데 감동이 컬러감과 생동감을 같이 밀려서 오네요~너무 재밋게봤어요^^ 제가 생각한 다이의 모습이에요 ㅎ 조금 키가 크지만^_^,10
모가디슈,올해 본 것 중에 가장 한국영화중 재밌고 감동적이면서도 간만에 영화다운 영화 본 것같아요배우들도 너무 연기 다들 잘하셔서 더 몰입감있게 봤구요 특히 구교환 배우님좋아하는데 역할 너무너무 또 잘 소화해내셔서 너무 재밌게 봤어용 앞으로 상업영화도 자주 출연하셨으면 좋겠어요 ㅠㅠ 구교환 배우 연기는 볼때마다 재밌고 흥미로워요 다음 작품이 기대되구요 ㅎㅎ 무튼 모가디슈 보기 전엔 이름도 생소한데 실제로 다룬 소재도 생소하고 잘 알려진 사건? 은 아니라 잘 몰랐지만 또한번 우리역사에 대해서도 생각해볼 수 있던 기회였던 것 같습니다모가디슈 ㅠㅠ 더 흥행하시길 !! 무튼 강추,10
모가디슈,처음에는 긴박한 클라이맥스를 향해가는 서사부의 느릿함이라 생각했으나 계속되는 의미없는 총소리와 총알 1000발을 맞아도 멀쩡한 자동차를 보며 흥미를 잃어버렸다. 그리고 남과 북의 화합이라는 뻔하디 뻔한 스토리 전개는 나의 무료함을 자아냈다. 볼 것이라고는 조인성 얼굴 하나였다.,2
감쪽같은 그녀,억지감동 억지사투리 억지웃음 배우들 연기력만 아까움,1
모가디슈,재밌었어요~ 오랜만에 영화 재밋게본거같네요,10
더 수어사이드 스쿼드,전체적으로 만족스러웠으나 굳이 청불로 만들면서까지 잔인하게 연출했어야 했는지는 조금 의문. 스토리는 유치한데 유혈낭자하니까 언매칭에서 오는 재미가 있기는 하지만 제임스 건은 <가오갤>시리즈때 연출이 더 좋았다고 생각함.,8
신 고질라,고질라 액션이 너무 부자연스러움 정치지판이고 나발이고 흡입력있지도 않고 이영화는 괴수 영화임 메임을 OOO기 OO이 만들었음 콩 고질라 를 한번 더보겠음 다시한번 말하지만 이영화눈 OOO기 영화임,2
모가디슈,소말리아 영화를 오로지 '블랙 호크 다운'만 알고 있는 이들이라면 이 영화는 '블랙 호크 다운' 프리퀼로도 손색 없는 작품임. 할리우드식 액션보다 더 생생한 전쟁에 대한 두려움과 그 속에서 피어나는 인간애를 경험할 수 있음. 보고나서도 오랫동안 잔상이 남는 영화! 역시 류승완 감독이다.,8
방법: 재차의,좀 오글거리지만 긴장감있고 재밌었어요 (드라마는 안봄),10
모가디슈,남!자의 자존심   페!ㅐ션 센스도 갖춘  미!친존재감 ㅈㅁㅅ,1
모가디슈,담담하게 그려낸 남북관계의 모습을 통해 여러모로 많은 생각이 들었습니다.,10
쇼생크 탈출,이 영화를 아직도 안봤다면 어디가서 영화를 봤다고 하지마세요내 인생 최고의 영화라고 자부합니다,10
밥정,산골에 사시는 할머니 할아버지 처럼 나도 겸허히 내 삶을 받아들이고 살아 갔으면 좋겠다 인생의 참뜻을 일깨워주는 참된 영화인것 같다,10
마르셀의 추억,내 인생 최애작품 인것 같습니다너무 좋았던 작품입니다,10
모가디슈,야 간첩 4명 나왔댄다. 북한 손잡는 영화 그만찍고 반공영화나 쳐만들어,1
모가디슈,디렉팅 연기 다 좋았음. 구질구질한 신파가 없어서 보기 편했음.,8
랑종,영화를 색안경을 안 끼고 영화 그 자체로 보니 괜찮은 영화입니다. 얼마나 똥 하나 묻은거 없이 깨끗한 사람들이기에 여러 커뮤 네티즌의 다양한 평가들 중에 다 싫어도 여성배우 연기력만 칭찬하는 부분들 및 페미성향 비평글이 많은걸 보고 알았습니다. 비난을 위한 pc적 비평으로만 영화를 보지 않으면 참 재밌다고 생각하는 영화입니다.,10
모가디슈,기대보다 재미있었고 실화 바탕이라 더 몰입해서 봤습니다.,10
언더 워터,에어컨 꺼도 쿨파워 튼 것 처럼 등골이 서늘했다.완전 스릴러의 원조같은 원조아닌 영화네ㅋ,10
모가디슈,걍 존잼이야.. 꼭 보세요,10
모가디슈,깻잎을 먹을깨 이해하고 도와주듯이 남북이 손잡으면 못할게 없어여,10
모가디슈,배우들 고생 참 많이 했겠다 싶음.  신파가 없어서 좋았다  저도 한표 드립니다,8
CCTV,곽도원 믿고 봤는데 독립영화인줄 몰랐네..  반전이 없었으면 엉망이 될뻘한 스토리,6
굿바이 싱글,있지도 않은 갈등 해결하는 걸 가르치겠다는 식. 그림 그리러 들어가지 못하게 막는 데에서 황당하고 웃겨서 참.. 이런 걸 지 혼자 쉐도우 복싱이라고 하든가.,1
좀비파이터,독립영화인걸 감안하고 봐야..  약간 지루함,4
모가디슈,도대체 북한은 맨날 왜 쳐엮는건지...,5
리얼 스틸,너무 재밌어요 2기대해여,10
블랙 위도우,마블빠가 봐도 빻았어 진짜라구,1
더 수어사이드 스쿼드,음… 영화관에서 보는데 이상하게 전체적으로 장면들이 다 어두워서.. 보기 불편했어요.. 어떤 때는 인물의 얼굴을 알아보기도 힘들고 이게 낮인지 밤인지 구분이 안가더라구요.. 아 참고로 영화 보다가 제 옆자리에서 보신 분은 주무시더라구요? (보시려면 참조..) 그냥 중간에 가시는 분들은 또 처음이라..,5
모가디슈,오랜만에 감동적인 영화를 만났어요 코로나가 어서끝나고 많은 분들이 함께 보면 좋을 영화,10
크루엘라,전체적으로 스토리 재미있고 좋네요. 네이버 영화로 다운 받아서 봤습니다. 추천합니다.,10
트라이앵글,무한 루프 영화중에 최고 같음. 맨 처음 여주 등장 연기에 답답함이 컸는데 그 이유가 뒤에 밝혀지니 꾹 참고 보시면 됩니다. 그리스신화도 잘 맞고 정말 시간 순삭 재밌게봤어요,10
모가디슈,오랫만에 재미있게 상영했네요.,10
고지전,다시봐도 명작이다. 신하균 같은 애들 군대가면 개 많음,10
감시자들,볼 게 없어서 채널 돌리다가  EBS  이 영화보고 밤 늦게까지 재미있게 봤습니다. 10점 만점에 10점!,10
모가디슈,모르겠습니다. 초반에 긴호흡들 지루했으며깨알재미마저 거의없어서 이건 진짜 다큐스러운영화라고 말할수있습니다. 그나마 마지막에 차추격씬과 남북헤어질때 감정처리정도는 신파없이 끝내서 깔끔했네요. 전 그다지정도의 영화였습니다,6
모가디슈,기대 안했는데 배우분들 연기는 물론 연출 장난아니에요ㅠㅠ,10
모가디슈,다들 액션보러 가는 거잖아요 ㅎㅎ,8
더 수어사이드 스쿼드,그냥 아무생각없이 보는 영화 ㅋㅋ,6
모가디슈,억지로 즙짜는 장면없이 담백한 진행에 시원한 액션까지,10
모가디슈,실화를 바탕으로 해서 나름 잘 만든 영화..,8
음란서생,그냥그럼...,2
모가디슈,한국영화 진짜 허접...경비가 몇 명 되지도 않는데 반공이 못들어와?어설픈 자동차씬하며...한국영화는 참 수준이 떨어지는건 확실,2
모가디슈,조인성이 감초로 나오다니 ㅋㅋ,10
더 수어사이드 스쿼드,내용 점점 산으로감 할리퀸은 이쁨,1
포레스트 검프,우리의 사는 모든 순간을 놓치지 말자.^^ 애플,10
"그 시절, 우리가 좋아했던 소녀",첫사랑의 추억이 새록새록~감동이였어요,10
수어사이드 스쿼드,이 좋은 배우들을 데리고 개망작을 만들다니...,1
블러드 레드 스카이,모성애를 쥐어짜긴하는데 내용이.. 읭? 갑자기? 또 갑자기? 자연스럽지못한 뜬금없는 전개. 보고나서 리뷰보는데 아 역시 보는눈은 다 비슷하구나아역이 너무 처음부터끝까지 고구마백개 캐릭터사건의발단도 중간중간 반전을노린듯한 행동들도라스트에서 반전을노렸지만 답답스러운 저정도면 큰아인데 유아틱한 행동과말들;  캐릭터들도 확실한 정체성이없이 뜨뜨미지근한 느낌에 몰입이 되다 깨지다 되다 깨지다 반복하다끝.,4
